Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,FFVL,143.987500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,S8 TRAN,145.200000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,S8X TRA,145.212500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,S9 TRAN,145.225000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,S9X TRA,145.237500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,S10 TRA,145.250000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,S10X TR,145.262500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,S11 TRA,145.275000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,S11X TR,145.287500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,V-OP-2M,145.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,VHFM525,145.525000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,VHFM550,145.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,VHFM575,145.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
16,R0X,145.612500,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,R0,145.600000,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
18,R1,145.625000,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
19,R1X,145.637500,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
20,R2,145.650000,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
21,R2X,145.662500,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
22,R3,145.675000,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
23,R3X,145.687500,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
24,R4,145.700000,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,R4X,145.712500,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
26,R5,145.725000,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
27,R5X,145.737500,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
28,R6,145.750000,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
29,R6X,145.762500,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
30,R7,145.775000,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
31,R7X,145.787500,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
32,SHTFPRE,146.420000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
33,SHTF,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,SHTFSUR,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,MER 06,156.300000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
38,MER 08,156.400000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
39,MER 09,156.450000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
40,MER 10,156.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
41,MER 11,156.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
42,MER 12,156.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
43,MER 13,156.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
44,MER 14,156.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
45,MER 15,156.750000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
46,MER 16,156.800000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
47,MER 17,156.850000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
48,MER 67,156.375000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
49,MER 68,156.425000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
50,MER 69,156.475000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
51,MER 70,156.525000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
52,MER 71,156.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
53,MER 72,156.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
54,MER 73,156.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
55,MER 74,156.725000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
56,MER 75,156.775000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
57,MER 76,156.825000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
58,MER 77,156.875000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
59,SOS E,161.300000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
60,SOS A,163.100000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
73,FRU01,430.025000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
74,FRU01R,431.625000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
75,FRU02,430.050000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
76,FRU03,430.075000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
77,FRU04,430.100000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
78,FRU05,430.125000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
79,FRU05R,431.725000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
80,FRU06,430.150000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
81,FRU06H,430.150000,+,9.400000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
82,FRU07,430.175000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
83,FRU08,430.200000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
84,FRU08H,430.200000,+,9.400000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
85,FRU09,430.225000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
86,FRU10,430.250000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
87,FRU11,430.275000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
88,FRU12,430.300000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
89,FRU13,430.325000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
90,FRU13H,430.325000,+,9.400000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
91,FRU14,430.350000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
92,FRU14H,430.350000,+,9.400000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
93,RU225,432.812500,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
94,RU226,432.825000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
95,FRU17,433.025000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
96,FRU18,433.050000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
97,FRU19,433.075000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
98,FRU20,433.100000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
99,FRU21,433.125000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
100,FRU22,433.150000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
101,FRU23,433.175000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
104,PMR 1,446.006250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
105,PMR 1.1,446.006250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
106,PMR 2,446.018750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
107,PMR 2.1,446.018750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
108,PMR 3,446.031250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
109,PMR 333,446.031250,,0.000000,TSQL,210.7,210.7,023,NN,NFM,5.00,,,,,,
110,PMR 3.1,446.031250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
111,PMR 4,446.043750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
112,PMR 4.1,446.043750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
113,PMR 5,446.056250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
114,PMR 5.1,446.056250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
115,PMR 6,446.068750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
116,PMR 6.1,446.068750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
117,PMR 7,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
118,PMR 7.1,446.081250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
119,PMR 7.7,446.081250,,0.000000,TSQL,85.4,85.4,023,NN,NFM,5.00,,,,,,
120,PMR 8,446.093750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
121,PMR 8.1,446.093750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
124,SOS UA,463.100000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
125,P-ROUG1,465.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
126,P-ROUG2,465.750000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
