Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,FFVL,143.987500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
2,S8 TRAN,145.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
3,S8X TRA,145.212500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
4,S9 TRAN,145.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
5,S9X TRA,145.237500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
6,S10 TRA,145.250000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
7,S10X TR,145.262500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
8,S11 TRA,145.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
9,S11X TR,145.287500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
11,V-OP-2M,145.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
12,VHFM525,145.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
13,VHFM550,145.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
14,VHFM575,145.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
16,R0X,145.612500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
17,R0,145.600000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
18,R1,145.625000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
19,R1X,145.637500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
20,R2,145.650000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
21,R2X,145.662500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
22,R3,145.675000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
23,R3X,145.687500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
24,R4,145.700000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
25,R4X,145.712500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
26,R5,145.725000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
27,R5X,145.737500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
28,R6,145.750000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
29,R6X,145.762500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
30,R7,145.775000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
31,R7X,145.787500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
32,SHTFPRE,146.420000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
33,SHTF,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
34,SHTFSUR,146.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
37,MER 06,156.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
38,MER 08,156.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
39,MER 09,156.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
40,MER 10,156.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
41,MER 11,156.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
42,MER 12,156.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
43,MER 13,156.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
44,MER 14,156.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
45,MER 15,156.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
